date,open,high,low,close,volume,value
2025-07-20 09:00:00,331.0,378.0,328.3,374.2,1984710770.0187535,702509237664.7247
2025-07-21 09:00:00,374.0,390.1,362.3,370.5,2059255520.2180758,768673749362.998
2025-07-22 09:00:00,370.2,375.6,351.5,366.9,1228826017.1905951,445207279849.3916
2025-07-23 09:00:00,366.9,367.0,315.0,328.5,1401713526.7135918,477210850712.2877
2025-07-24 09:00:00,328.5,335.9,300.8,316.1,1290614615.3949218,413816938661.0361
2025-07-25 09:00:00,316.1,323.4,304.8,322.9,738356073.7722275,230823225145.63675
2025-07-26 09:00:00,322.8,327.6,317.3,321.8,331487732.438288,107210641166.82538
2025-07-27 09:00:00,321.5,331.6,320.9,328.1,426024761.30594504,138721216188.79642
2025-07-28 09:00:00,327.9,337.6,310.0,311.7,680087896.8944974,221481459959.64716
2025-07-29 09:00:00,311.7,319.8,302.0,310.0,462460379.4611565,143809581593.54892
2025-07-30 09:00:00,310.1,312.0,294.0,305.0,468034307.9357368,142202592694.96375
2025-07-31 09:00:00,305.0,311.0,291.0,292.0,296299486.4744486,89506941751.85616
2025-08-01 09:00:00,293.0,294.0,275.0,280.0,496296135.54944605,142075944767.49402
2025-08-02 09:00:00,281.0,284.0,266.0,267.0,347797304.3490185,95688650857.05269
2025-08-03 09:00:00,268.0,281.0,263.9,280.0,259715387.10697976,71230683795.84938
2025-08-04 09:00:00,280.0,294.0,278.0,293.0,320414524.79741424,91167763282.74937
2025-08-05 09:00:00,293.0,295.0,275.0,281.0,319383357.7288193,90959083824.29124
2025-08-06 09:00:00,281.0,289.0,274.0,285.0,232203505.62728608,65147680692.29213
2025-08-07 09:00:00,286.0,307.0,284.0,305.0,351814600.56092364,103951643340.44519
2025-08-08 09:00:00,306.0,319.0,302.0,316.0,585083880.0774398,180236933632.7362
2025-08-09 09:00:00,316.0,338.5,315.0,331.0,593763695.1688632,194256608110.6268
2025-08-10 09:00:00,330.0,336.0,314.0,322.0,445307654.4671627,144138341185.44962
2025-08-11 09:00:00,322.0,331.0,306.0,308.0,449750307.0204493,143275004947.84018
2025-08-12 09:00:00,308.0,326.0,302.0,322.0,441020480.4497327,138131733505.43207
2025-08-13 09:00:00,323.0,342.0,317.0,334.0,807575309.3180712,268341231214.5796
2025-08-14 09:00:00,334.0,348.0,304.0,312.0,1255762673.6862252,407096962001.6385
2025-08-15 09:00:00,312.0,324.0,307.0,320.0,565172781.6485856,178863633539.67838
2025-08-16 09:00:00,320.0,329.0,313.0,321.0,338763000.06073403,108883284152.84323
2025-08-17 09:00:00,321.0,335.0,317.0,326.0,351355530.1743901,114294783778.20477
2025-08-18 09:00:00,326.0,328.0,307.0,310.0,501313841.8888409,156803623674.34192
2025-08-19 09:00:00,310.0,314.0,291.0,292.0,465307668.3082665,140577918657.91666
2025-08-20 09:00:00,292.0,310.0,291.0,309.0,386102452.5065127,115788605310.1485
2025-08-21 09:00:00,309.0,313.0,300.0,302.0,311239498.7172611,95230350051.03952
2025-08-22 09:00:00,302.0,334.0,292.0,331.0,907034851.9025412,286668853472.1244
2025-08-23 09:00:00,332.0,332.0,316.0,327.0,444903555.932824,144738224954.99875
2025-08-24 09:00:00,326.0,338.0,317.0,323.0,525009097.360591,170553319419.04742
2025-08-25 09:00:00,322.0,325.0,293.0,297.0,733917017.6528547,226070591879.27884
2025-08-26 09:00:00,297.0,308.0,294.0,305.0,394120945.5319695,118038968027.54004
2025-08-27 09:00:00,306.0,312.0,302.0,307.0,340141569.29087883,104627275273.50262
2025-08-28 09:00:00,307.0,314.0,303.0,313.0,287388569.8591336,89150057263.91635
2025-08-29 09:00:00,312.0,314.0,295.0,301.0,483627478.02517,146217783095.57892
2025-08-30 09:00:00,301.0,305.0,295.0,302.0,195288584.0082439,58672690105.85933
2025-08-31 09:00:00,302.0,308.0,297.0,298.0,171937840.3130145,52103345483.438995
2025-09-01 09:00:00,298.0,305.0,287.0,294.0,472952861.3268411,139946067050.46774
2025-09-02 09:00:00,294.0,301.0,288.0,300.0,324767688.00550437,95841789418.55957
2025-09-03 09:00:00,300.0,310.0,296.0,306.0,270034729.9676537,81498960150.14406
2025-09-04 09:00:00,306.0,307.0,296.0,298.0,188015895.9302458,56474814497.30451
2025-09-05 09:00:00,299.0,307.0,297.0,305.0,269016664.7448117,81439097349.1044
2025-09-06 09:00:00,305.0,306.0,298.0,303.0,142795787.80943277,43121511166.273994
2025-09-07 09:00:00,302.0,319.0,302.0,319.0,281783624.8876613,87517770509.54132
2025-09-08 09:00:00,319.0,340.0,316.0,337.0,554871472.5734351,181634504851.8061
2025-09-09 09:00:00,336.0,346.0,325.0,336.0,646924191.0150591,217051392010.9371
2025-09-10 09:00:00,336.0,345.0,330.0,342.0,425153392.94890183,143302584650.89276
2025-09-11 09:00:00,342.0,357.0,339.0,356.0,687427760.9549563,239131598114.17804
2025-09-12 09:00:00,356.0,386.0,354.0,382.0,863109820.6903535,318656868771.987
2025-09-13 09:00:00,382.0,424.0,379.0,402.0,2012939705.7158532,811809700852.5841
2025-09-14 09:00:00,401.0,409.0,378.0,387.0,1110104024.4022202,437710135480.9158
2025-09-15 09:00:00,386.0,391.0,360.0,374.0,1060143521.2040728,395994076162.87256
2025-09-16 09:00:00,374.0,378.0,360.0,375.0,552583511.1172897,204266073370.90927
2025-09-17 09:00:00,375.0,394.0,364.0,392.0,697686684.4728317,262906372338.90457
2025-09-18 09:00:00,391.0,400.0,383.0,387.0,740574312.0461051,289307926710.10455
2025-09-19 09:00:00,387.0,395.0,369.0,373.0,544992790.8116252,207140251873.9337
2025-09-20 09:00:00,373.0,377.0,370.0,376.0,245753100.72554186,91647628375.449
2025-09-21 09:00:00,376.0,378.0,365.0,365.0,293444168.33882433,109143786961.11804
2025-09-22 09:00:00,365.0,368.0,334.0,344.0,938924044.2319915,323771966751.6597
2025-09-23 09:00:00,345.0,348.0,333.0,339.0,394078251.6054373,134546575047.3193
2025-09-24 09:00:00,339.0,355.0,331.0,342.0,399140469.74263453,136666361101.55338
2025-09-25 09:00:00,343.0,344.0,321.0,324.0,507568474.5537065,168257378229.77106
2025-09-26 09:00:00,324.0,336.0,322.0,335.0,355635319.0323245,116759711124.0612
2025-09-27 09:00:00,335.0,337.0,328.0,333.0,138250527.37837273,45959935884.00842
2025-09-28 09:00:00,333.0,340.0,325.0,340.0,184781486.20925182,61149129882.87804
2025-09-29 09:00:00,340.0,341.0,328.0,335.0,305049670.4730719,102104128960.68352
2025-09-30 09:00:00,335.0,337.0,326.0,333.0,206934397.8355491,68502034787.35735
2025-10-01 09:00:00,333.0,354.0,329.0,354.0,370299068.1664346,127002609295.34845
2025-10-02 09:00:00,354.0,374.0,350.0,371.0,515893828.3920111,186767107302.05777
2025-10-03 09:00:00,371.0,374.0,359.0,367.0,431118381.81950027,157756538456.4329
2025-10-04 09:00:00,367.0,369.0,353.0,359.0,287062510.4796588,103137218989.84605
2025-10-05 09:00:00,359.0,376.0,356.0,363.0,544760395.4595356,200546907396.10718
2025-10-06 09:00:00,362.0,384.0,360.0,379.0,543794464.2839732,202994869400.12198
2025-10-07 09:00:00,378.0,383.0,357.0,358.0,648128673.8014214,239865492700.83603
2025-10-08 09:00:00,358.0,376.0,355.0,369.0,411181072.5630542,149865516476.98932
2025-10-09 09:00:00,369.0,370.0,355.0,363.0,407685593.8108507,147104219911.6198
2025-10-10 09:00:00,363.0,369.0,300.0,308.0,1265238993.0662675,421415098653.661
2025-10-11 09:00:00,309.0,313.0,277.0,286.0,1539436157.471987,453800890071.6764
2025-10-12 09:00:00,286.0,321.0,277.0,314.0,1038153625.1797982,312401618766.0464
2025-10-13 09:00:00,314.0,324.0,304.0,319.0,652499591.6127923,205479610968.79773
2025-10-14 09:00:00,318.0,322.0,296.0,308.0,848809266.8885971,258828490191.791
2025-10-15 09:00:00,307.0,313.0,298.0,299.0,434185258.8486646,132310304396.89455
2025-10-16 09:00:00,299.0,304.0,285.0,288.0,567104558.8354508,167481867691.08173
2025-10-17 09:00:00,289.0,292.0,270.0,285.0,679257575.289913,190120097166.06805
2025-10-18 09:00:00,285.0,291.0,283.0,290.0,212475568.28392103,60957114539.62705
2025-10-19 09:00:00,290.0,301.0,282.0,297.0,323951296.6859962,94954621128.85735
2025-10-20 09:00:00,296.0,304.0,291.0,300.0,316091675.63688415,94577121766.29897
2025-10-21 09:00:00,300.0,306.0,290.0,293.0,385526235.8723651,114634378813.47943
2025-10-22 09:00:00,293.0,295.0,283.0,288.0,295979752.7832692,85559353172.7347
2025-10-23 09:00:00,288.0,296.0,287.0,293.0,176441250.55512923,51434923085.87174
2025-10-24 09:00:00,293.0,300.0,291.0,296.0,225195949.75633988,66398852405.01528
2025-10-25 09:00:00,296.0,299.0,292.0,294.0,123166629.27149309,36397858835.235085
2025-10-26 09:00:00,294.0,306.0,291.0,305.0,277533475.8059565,82876053133.86201
2025-10-27 09:00:00,305.0,310.0,296.0,297.0,304815308.1634995,92285201188.90584
2025-10-28 09:00:00,296.0,299.0,285.0,290.0,301834094.0955254,88686748500.40529
2025-10-29 09:00:00,289.0,294.0,281.0,287.0,332137358.0395171,95612312731.94153
2025-10-30 09:00:00,288.0,290.0,269.0,277.0,532106639.66321975,148018562294.15237
2025-10-31 09:00:00,277.0,281.0,274.0,280.0,188579173.25714657,52388837240.24158
2025-11-01 09:00:00,280.0,280.0,276.0,279.0,98300647.27236176,27359931053.48271
2025-11-02 09:00:00,279.0,280.0,271.0,277.0,152000305.40815848,41830270447.18845
2025-11-03 09:00:00,276.0,277.0,245.0,250.0,624694300.4957,160965040289.5076
2025-11-04 09:00:00,250.0,256.0,227.0,245.0,792285790.5865799,191920907202.41397
2025-11-05 09:00:00,245.0,252.0,229.0,251.0,513496828.6897908,124906797581.97824
