date,open,high,low,close,volume,value
2025-09-11 09:00:00,7.88,9.97,7.33,8.19,13215252263.95854,107276859799.06537
2025-09-12 09:00:00,8.19,8.86,8.04,8.61,8626342698.338161,73057665413.61292
2025-09-13 09:00:00,8.61,10.7,8.49,10.4,5678869781.433849,52710119503.40885
2025-09-14 09:00:00,10.4,12.5,10.2,11.1,9178351044.706106,102951386936.29555
2025-09-15 09:00:00,11.1,12.2,10.4,12.0,6105620180.685511,68992995535.90404
2025-09-16 09:00:00,12.1,12.2,10.8,10.8,2954358130.391341,33769989771.248688
2025-09-17 09:00:00,10.9,11.7,10.4,11.3,2714884073.112906,30002787374.592327
2025-09-18 09:00:00,11.3,12.2,10.6,10.9,2920553297.8482375,33141361851.29293
2025-09-19 09:00:00,10.9,10.9,9.7,10.0,2607605571.742167,26421632707.18017
2025-09-20 09:00:00,10.0,10.5,9.38,9.79,2669559979.941521,26307108263.43206
2025-09-21 09:00:00,9.79,10.7,9.14,9.17,4101371182.418065,40463764952.11498
2025-09-22 09:00:00,9.17,9.22,7.81,8.14,3457655541.851367,29545689708.848278
2025-09-23 09:00:00,8.15,8.72,7.61,8.31,2996183928.120738,24439657929.91318
2025-09-24 09:00:00,8.31,8.77,7.8,7.99,2765714264.2242513,22795322741.07795
2025-09-25 09:00:00,8.0,8.07,7.19,7.26,2447220582.8471427,18433500201.945107
2025-09-26 09:00:00,7.3,7.76,7.03,7.59,1980283351.0055816,14722182481.908606
2025-09-27 09:00:00,7.6,7.67,7.08,7.44,1131755117.947934,8320197419.664249
2025-09-28 09:00:00,7.45,8.76,7.16,8.57,4422178937.8173275,36518533413.33753
2025-09-29 09:00:00,8.57,8.57,7.73,8.2,1453720858.7139554,11894940407.1852
2025-09-30 09:00:00,8.2,8.95,7.46,8.49,1254740380.4098983,10183356501.540592
2025-10-01 09:00:00,8.5,10.2,8.36,9.96,6447417393.388519,60805978378.816345
2025-10-02 09:00:00,9.96,10.4,9.44,10.0,2548152224.7398496,25191086079.809784
2025-10-03 09:00:00,10.0,10.7,9.57,9.77,1418821547.2661166,14150820952.419142
2025-10-04 09:00:00,9.77,10.1,9.04,9.52,1248148461.7113338,11966491187.677677
2025-10-05 09:00:00,9.52,10.2,9.11,9.22,1167112436.575912,11350304511.974041
2025-10-06 09:00:00,9.22,9.46,8.77,8.84,1291151077.468687,11776985661.597284
2025-10-07 09:00:00,8.84,9.62,8.69,9.3,2500204133.0456557,22858134371.66482
2025-10-08 09:00:00,9.31,9.38,8.45,8.88,1760002369.1125674,15460031609.441454
2025-10-09 09:00:00,8.88,8.89,7.73,8.08,1615865486.8649192,13276274101.777443
2025-10-10 09:00:00,8.07,8.19,5.1,6.33,2092626507.7433555,15455111432.993498
2025-10-11 09:00:00,6.32,6.62,5.6,5.8,1909493169.863263,11619252093.820448
2025-10-12 09:00:00,5.79,6.84,5.55,6.51,2078106903.795008,12633677076.996563
2025-10-13 09:00:00,6.51,6.59,5.98,6.47,2258009989.933484,14142188077.743113
2025-10-14 09:00:00,6.46,6.52,5.61,6.15,2504686633.6409535,15001272844.64242
2025-10-15 09:00:00,6.17,6.28,5.76,5.84,1203096093.53193,7244196256.300464
2025-10-16 09:00:00,5.84,5.9,5.2,5.3,1654767667.9902701,9234548487.011206
2025-10-17 09:00:00,5.3,5.58,4.91,5.4,1506851915.6619503,7867933523.56001
2025-10-18 09:00:00,5.42,6.15,5.34,6.05,1575489810.7288506,8992431651.372786
2025-10-19 09:00:00,6.04,6.25,5.74,5.93,1341017635.4506636,8007144318.27657
2025-10-20 09:00:00,5.95,6.31,5.66,5.8,2331174019.7163973,14086622632.246374
2025-10-21 09:00:00,5.8,6.17,5.52,5.58,1970099301.3013644,11563738771.26783
2025-10-22 09:00:00,5.57,5.76,5.21,5.24,1210436700.2902467,6692977870.607003
2025-10-23 09:00:00,5.25,5.88,5.24,5.71,1330330705.1220157,7371656655.427133
2025-10-24 09:00:00,5.73,6.42,5.63,6.2,1923000934.4382737,11647309963.017006
2025-10-25 09:00:00,6.19,6.3,5.97,6.15,749783875.2809429,4596028508.969787
2025-10-26 09:00:00,6.15,7.15,6.08,7.11,5638489889.068255,38339364528.78482
2025-10-27 09:00:00,7.11,7.47,6.68,7.08,2338380875.3378353,16467473635.514326
2025-10-28 09:00:00,7.08,7.67,6.65,6.9,3037991215.010245,22167667488.27496
2025-10-29 09:00:00,6.9,8.18,6.78,7.81,2964761058.25725,22033956082.363247
2025-10-30 09:00:00,7.81,8.08,6.27,6.69,3039784406.212634,21821184016.067955
2025-10-31 09:00:00,6.7,7.15,6.25,6.91,2142259700.2057028,14230890211.194954
2025-11-01 09:00:00,6.92,7.12,6.61,6.92,1321795471.9533489,9036588828.623735
2025-11-02 09:00:00,6.93,7.17,6.29,6.47,1312019734.400021,8787831029.1944
2025-11-03 09:00:00,6.46,6.49,5.44,5.76,1357585128.0800765,8187094479.757728
2025-11-04 09:00:00,5.75,5.99,5.12,5.64,1236242665.0417314,6898650073.741284
2025-11-05 09:00:00,5.64,6.45,5.28,6.24,1666759344.3990052,9923036160.372782
2025-11-06 09:00:00,6.23,6.23,5.47,5.53,693740796.0474422,4016270166.423746
2025-11-07 09:00:00,5.52,6.42,5.41,6.2,1187256327.05216,6990099705.150295
2025-11-08 09:00:00,6.23,6.29,5.47,5.63,1378656353.2631202,7922721678.883997
2025-11-09 09:00:00,5.63,6.26,5.5,6.11,1491087805.838266,8705477474.978483
2025-11-10 09:00:00,6.13,6.88,6.06,6.66,2152369066.8913994,14162591059.32733
2025-11-11 09:00:00,6.66,7.2,6.11,6.14,2027013228.3883355,13502466042.375755
2025-11-12 09:00:00,6.15,6.8,5.87,5.91,2547303873.3997726,16130910412.316727
2025-11-13 09:00:00,5.92,6.11,5.32,5.51,2121842418.2333782,12163709530.864815
2025-11-14 09:00:00,5.51,5.69,5.2,5.29,2198915980.3696623,12000792597.4395
2025-11-15 09:00:00,5.27,5.59,5.26,5.41,692972550.7571294,3754181978.3961487
2025-11-16 09:00:00,5.41,5.54,4.91,5.1,1470807445.6814191,7737444357.229119
2025-11-17 09:00:00,5.09,5.19,4.29,4.32,2698749681.6729617,12497177891.10868
2025-11-18 09:00:00,4.34,4.74,4.13,4.62,3090923447.0975323,13718563987.173773
2025-11-19 09:00:00,4.62,4.8,4.31,4.76,789980401.8754684,3595360018.4060845
2025-11-20 09:00:00,4.76,5.07,4.27,4.42,1397297132.2450461,6474833375.556706
2025-11-21 09:00:00,4.45,4.5,3.73,4.12,1663423179.1628633,6899743635.746103
2025-11-22 09:00:00,4.13,4.19,3.92,3.99,620193225.4504743,2507150989.6806746
2025-11-23 09:00:00,3.99,4.19,3.75,3.85,1646867020.4458969,6518977989.29633
2025-11-24 09:00:00,3.84,4.27,3.79,4.21,1523047125.9794872,6112199107.5364485
2025-11-25 09:00:00,4.21,4.26,4.02,4.17,701541259.9733137,2880488584.7829247
2025-11-26 09:00:00,4.17,4.43,4.06,4.37,1044301307.9515026,4441661212.008235
2025-11-27 09:00:00,4.38,4.7,4.32,4.51,1106944918.54361,4960543740.807459
2025-11-28 09:00:00,4.5,4.76,4.35,4.42,611016257.8495475,2762622682.06305
2025-11-29 09:00:00,4.43,4.47,4.3,4.37,223128452.18742636,979065637.484734
2025-11-30 09:00:00,4.39,5.05,4.27,4.43,2030650697.8135734,9433834766.181877
2025-12-01 09:00:00,4.43,4.44,3.86,4.19,1016930231.0927856,4158383432.894151
2025-12-02 09:00:00,4.19,4.99,4.16,4.85,921692566.1925925,4174492654.048669
2025-12-03 09:00:00,4.84,5.06,4.61,4.71,800571043.9713122,3888719007.29282
2025-12-04 09:00:00,4.71,4.92,4.57,4.66,818049739.525818,3906008432.1317506
2025-12-05 09:00:00,4.65,4.71,4.23,4.26,613483607.5580281,2764762360.5904155
2025-12-06 09:00:00,4.25,4.69,4.21,4.47,775566402.3278153,3488134605.7414126
2025-12-07 09:00:00,4.48,4.63,4.24,4.36,529284469.4269395,2358835588.7922955
2025-12-08 09:00:00,4.35,4.7,4.33,4.56,538278704.9987752,2458358749.673818
2025-12-09 09:00:00,4.56,4.79,4.36,4.55,546606631.4403336,2470524842.829041
2025-12-10 09:00:00,4.55,4.6,4.26,4.28,472571757.0062452,2101669335.860261
2025-12-11 09:00:00,4.27,4.33,4.07,4.24,383666800.57008576,1595308505.9604542
2025-12-12 09:00:00,4.25,4.35,4.07,4.13,348362159.07078314,1465683283.2073536
2025-12-13 09:00:00,4.13,4.19,4.09,4.18,119938707.43117282,497194533.9685489
2025-12-14 09:00:00,4.17,4.24,3.9,3.96,335781018.6739234,1362922615.728003
2025-12-15 09:00:00,3.98,4.1,3.68,3.77,646323939.8239682,2515803974.3980517
2025-12-16 09:00:00,3.77,3.77,3.4,3.48,1245979440.0078511,4432257919.9555855
2025-12-17 09:00:00,3.48,3.51,3.08,3.11,1176127944.9933672,3938773418.9364967
2025-12-18 09:00:00,3.12,3.13,2.74,2.77,1496522299.8601425,4404079157.719888
2025-12-19 09:00:00,2.77,3.0,2.69,2.96,1393014652.5687807,4007636008.9757986
2025-12-20 09:00:00,2.97,3.03,2.89,2.92,699121912.9919816,2066693328.2678044
2025-12-21 09:00:00,2.92,3.0,2.81,2.94,1049399166.6555588,3068358922.8538094
2025-12-22 09:00:00,2.94,3.03,2.84,2.85,811599974.4718189,2389559106.581105
2025-12-23 09:00:00,2.85,2.88,2.53,2.59,2940001932.3752646,7742618308.73341
2025-12-24 09:00:00,2.59,2.65,2.49,2.58,1699730159.1046627,4313705796.07001
2025-12-25 09:00:00,2.57,2.74,2.54,2.55,1414686843.1147988,3689297585.569609
2025-12-26 09:00:00,2.55,2.69,2.53,2.64,1103986663.5080914,2868701003.728701
2025-12-27 09:00:00,2.65,2.74,2.64,2.74,942480521.6041172,2537385796.2584543
2025-12-28 09:00:00,2.73,2.79,2.68,2.74,453895605.9613457,1240711420.2172809
2025-12-29 09:00:00,2.72,2.78,2.56,2.63,846310045.9331506,2255501063.625817
2025-12-30 09:00:00,2.64,2.68,2.57,2.68,369266507.8015523,966826129.7242875
2025-12-31 09:00:00,2.68,2.83,2.65,2.8,1167326195.3258882,3233480659.544694
2026-01-01 09:00:00,2.8,3.1,2.78,3.06,1586170327.9510617,4630063740.991087
2026-01-02 09:00:00,3.07,3.46,3.01,3.29,2789593000.043306,8859273767.8262
2026-01-03 09:00:00,3.29,3.44,3.14,3.36,1169829068.332748,3852893070.957539
2026-01-04 09:00:00,3.36,3.47,3.27,3.41,1042176639.0491791,3494118041.4631677
2026-01-05 09:00:00,3.4,3.71,3.2,3.63,887221825.071656,2999140168.2407556
2026-01-06 09:00:00,3.64,3.94,3.39,3.86,919737138.509109,3308336350.594569
2026-01-07 09:00:00,3.84,3.87,3.25,3.43,782982676.393253,2780595057.2922173
2026-01-08 09:00:00,3.43,3.46,3.01,3.2,1301946661.495594,4088754875.9208794
2026-01-09 09:00:00,3.21,3.71,3.12,3.46,2054274424.066978,7065637762.023239
2026-01-10 09:00:00,3.46,3.62,3.27,3.37,1082517604.847098,3694579147.181019
2026-01-11 09:00:00,3.38,3.71,3.37,3.53,2131289347.2596107,7640874677.609133
2026-01-12 09:00:00,3.53,3.9,3.41,3.6,1894334419.673137,6949424893.36429
2026-01-13 09:00:00,3.59,4.03,3.54,3.91,2445176659.730258,9273335669.97547
2026-01-14 09:00:00,3.91,4.43,3.89,4.12,2105712394.3215883,8750634583.33115
2026-01-15 09:00:00,4.13,4.38,3.84,4.0,2106694745.347436,8751836067.743382
2026-01-16 09:00:00,4.0,4.55,3.99,4.36,3527230245.976791,15106673586.815426
2026-01-17 09:00:00,4.36,4.58,4.1,4.14,1488382088.7523785,6445119322.956178
2026-01-18 09:00:00,4.13,4.2,3.84,3.85,962520256.1555048,3895859364.9041333
2026-01-19 09:00:00,3.85,3.96,3.37,3.91,1139249866.8199036,4228992418.622744
2026-01-20 09:00:00,3.91,3.91,3.56,3.57,682643620.252271,2582149039.2976904
2026-01-21 09:00:00,3.57,4.1,3.54,3.92,857857179.8334987,3249815117.5210857
2026-01-22 09:00:00,3.93,4.0,3.63,3.67,456239367.57725453,1747993859.2338598
2026-01-23 09:00:00,3.66,3.76,3.48,3.53,657819026.8401911,2393430566.5179033
2026-01-24 09:00:00,3.53,4.14,3.48,4.04,818907263.5219426,3095172956.0231185
2026-01-25 09:00:00,4.04,4.1,3.46,3.65,723081588.2185855,2735396940.872677
2026-01-26 09:00:00,3.65,4.07,3.63,3.97,573413012.9384565,2162314452.5840693
2026-01-27 09:00:00,3.97,4.73,3.91,4.61,5962650604.027737,26885884686.747616
2026-01-28 09:00:00,4.62,4.86,4.4,4.43,1830328860.476452,8535836145.920055
2026-01-29 09:00:00,4.43,4.44,4.08,4.15,1080147224.2592087,4629520918.298932
2026-01-30 09:00:00,4.15,4.33,3.91,4.18,1085580005.4621685,4393933980.865128
2026-01-31 09:00:00,4.18,4.26,3.52,4.01,1436657427.9256866,5578924030.363693
2026-02-01 09:00:00,4.02,4.07,3.66,3.77,856503129.4552934,3330887836.836923
2026-02-02 09:00:00,3.77,3.92,3.48,3.57,1163228252.8611858,4237505229.702929
2026-02-03 09:00:00,3.57,3.82,3.39,3.55,1704109012.483406,6157888317.446545
2026-02-04 09:00:00,3.56,3.62,3.29,3.34,1088506715.203379,3767141561.1223335
2026-02-05 09:00:00,3.35,3.42,2.85,2.86,1162959078.7674446,3722981210.6117268
