date,open,high,low,close,volume,value
2026-05-18 09:00:00,444.0,931.0,444.0,628.0,156901248.51535687,117716846219.34814
2026-05-19 09:00:00,631.0,635.0,530.0,540.0,25433247.0509543,14439869139.431105
2026-05-20 09:00:00,540.0,750.0,515.0,643.0,103523719.95181406,68278633503.21259
2026-05-21 09:00:00,643.0,758.0,624.0,661.0,84811585.31848647,58387896434.258965
2026-05-22 09:00:00,660.0,761.0,658.0,712.0,52488062.98626773,36862425810.947464
2026-05-23 09:00:00,712.0,740.0,627.0,685.0,19362282.5703411,12919850013.09293
2026-05-24 09:00:00,686.0,687.0,634.0,641.0,6868777.34338217,4456228270.073615
2026-05-25 09:00:00,638.0,642.0,599.0,602.0,5485032.40207565,3355770412.2430806
2026-05-26 09:00:00,603.0,641.0,562.0,578.0,7938920.20892423,4776878571.412684
2026-05-27 09:00:00,577.0,687.0,568.0,628.0,65183720.06072879,41681735413.19416
2026-05-28 09:00:00,627.0,682.0,565.0,605.0,24583018.52909558,15671856346.125477
2026-05-29 09:00:00,605.0,637.0,568.0,574.0,6397162.78587393,3775920594.139935
2026-05-30 09:00:00,574.0,582.0,547.0,567.0,2624758.04511141,1476317709.3681993
2026-05-31 09:00:00,567.0,569.0,537.0,551.0,1529327.44721402,838901423.3901029
2026-06-01 09:00:00,551.0,552.0,503.0,522.0,2218938.30334939,1156695221.2576165
2026-06-02 09:00:00,522.0,526.0,491.0,500.0,1524137.57868154,770643567.3666673
2026-06-03 09:00:00,500.0,595.0,499.0,539.0,28809451.40542913,15945341155.997988
2026-06-04 09:00:00,539.0,672.0,532.0,591.0,81287962.36647809,49486023397.59082
2026-06-05 09:00:00,591.0,632.0,513.0,546.0,20545867.52283075,11878629161.293894
2026-06-06 09:00:00,546.0,575.0,492.0,516.0,4083822.13294557,2191357983.0003276
2026-06-07 09:00:00,515.0,547.0,500.0,547.0,1555525.74533283,805868812.5777202
2026-06-08 09:00:00,548.0,630.0,539.0,585.0,27235254.86112063,15905219480.162779
2026-06-09 09:00:00,585.0,594.0,500.0,533.0,6384783.29757639,3403550464.984349
2026-06-10 09:00:00,533.0,535.0,501.0,527.0,1707487.81447825,872427873.1345507
2026-06-11 09:00:00,527.0,542.0,504.0,535.0,1661675.79458396,866939842.4911419
2026-06-12 09:00:00,538.0,554.0,518.0,554.0,1493037.63333391,797755554.6240892
2026-06-13 09:00:00,555.0,565.0,536.0,565.0,819442.27118019,451831445.8817945
2026-06-14 09:00:00,562.0,562.0,542.0,557.0,888143.09682189,488576331.7382384
2026-06-15 09:00:00,557.0,614.0,542.0,566.0,13021847.52621351,7604730930.555426
2026-06-16 09:00:00,565.0,565.0,537.0,545.0,1528759.76294213,835306599.6286609
2026-06-17 09:00:00,545.0,546.0,513.0,524.0,1028154.18436941,544255435.8656443
2026-06-18 09:00:00,528.0,602.0,520.0,538.0,16265520.41955577,9169249961.494808
2026-06-19 09:00:00,538.0,565.0,505.0,525.0,3047691.08738123,1618461433.0620394
